threshold: 0.2, 95.98% @ 1.619%
threshold: 0.25, 92.32% @ 0.2738%
threshold: 0.3, 86.24% @ 0.0119%
threshold: 0.35, 77.47% @ 0.0%
threshold: 0.4, 66.27% @ 0.0%
threshold: 0.45, 52.7% @ 0.0%
threshold: 0.5, 36.87% @ 0.0%
threshold: 0.55, 22.54% @ 0.0%
threshold: 0.6, 12.57% @ 0.0%
threshold: 0.65, 5.759% @ 0.0%
threshold: 0.7, 2.432% @ 0.0%
threshold: 0.75, 0.8418% @ 0.0%
threshold: 0.8, 0.2806% @ 0.0%
threshold: 0.85, 0.06681% @ 0.0%
threshold: 0.9, 0.02672% @ 0.0%
-----------------------------------------------
threshold: 0.25, 92.32% @ 0.3214%threshold: 0.26, 91.23% @ 0.2381%
threshold: 0.27, 89.97% @ 0.2024%
threshold: 0.28, 88.67% @ 0.1786%
threshold: 0.29, 87.39% @ 0.08333%
threshold: 0.30000000000000004, 86.24% @ 0.02381%
threshold: 0.31000000000000005, 84.57% @ 0.02381%
threshold: 0.32000000000000006, 82.91% @ 0.02381%
threshold: 0.33000000000000007, 81.27% @ 0.04762%
threshold: 0.3400000000000001, 79.49% @ 0.03571%
threshold: 0.3500000000000001, 77.47% @ 0.0%
threshold: 0.3600000000000001, 75.48% @ 0.0%
threshold: 0.3700000000000001, 73.04% @ 0.0119%
