===========================<< 0.33 >>=========================
idx	| TP	 TN	 FN	 FP	 | TAR%   @ FAR%
--------------------------------------------------------
0	| 1	 5	 1	 0	 | 50.0% @ 0.0%
100	| 247	 504	 197	 1	 | 55.63% @ 0.198%
200	| 468	 1004	 329	 1	 | 58.72% @ 0.0995%
300	| 633	 1502	 476	 3	 | 57.08% @ 0.1993%
400	| 848	 2000	 659	 5	 | 56.27% @ 0.2494%
500	| 998	 2499	 839	 6	 | 54.33% @ 0.2395%
600	| 1249	 2998	 1019	 7	 | 55.07% @ 0.2329%
700	| 1628	 3495	 1361	 10	 | 54.47% @ 0.2853%
800	| 1806	 3993	 1518	 12	 | 54.33% @ 0.2996%
900	| 2138	 4492	 1716	 13	 | 55.47% @ 0.2886%
1000	| 2354	 4989	 1904	 16	 | 55.28% @ 0.3197%
1100	| 2679	 5487	 2110	 18	 | 55.94% @ 0.327%
1200	| 2957	 5984	 2285	 21	 | 56.41% @ 0.3497%
1300	| 3176	 6480	 2447	 25	 | 56.48% @ 0.3843%
1400	| 3796	 6978	 2755	 27	 | 57.95% @ 0.3854%
1500	| 3984	 7477	 2952	 28	 | 57.44% @ 0.3731%
1600	| 4181	 7977	 3100	 28	 | 57.42% @ 0.3498%
Last	| 4298	 8369	 3186	 31	 | 57.43% @ 0.369%
===========================<< 0.34 >>=========================
idx	| TP	 TN	 FN	 FP	 | TAR%   @ FAR%
--------------------------------------------------------
0	| 1	 5	 1	 0	 | 50.0% @ 0.0%
100	| 219	 503	 225	 2	 | 49.32% @ 0.396%
200	| 416	 1002	 381	 3	 | 52.2% @ 0.2985%
300	| 560	 1501	 549	 4	 | 50.5% @ 0.2658%
400	| 769	 2001	 738	 4	 | 51.03% @ 0.1995%
500	| 922	 2498	 915	 7	 | 50.19% @ 0.2794%
600	| 1169	 2993	 1099	 12	 | 51.54% @ 0.3993%
700	| 1556	 3492	 1433	 13	 | 52.06% @ 0.3709%
800	| 1710	 3991	 1614	 14	 | 51.44% @ 0.3496%
900	| 2012	 4488	 1842	 17	 | 52.21% @ 0.3774%
1000	| 2209	 4986	 2049	 19	 | 51.88% @ 0.3796%
1100	| 2504	 5485	 2285	 20	 | 52.29% @ 0.3633%
1200	| 2761	 5982	 2481	 23	 | 52.67% @ 0.383%
1300	| 2973	 6481	 2650	 24	 | 52.87% @ 0.3689%
1400	| 3553	 6979	 2998	 26	 | 54.24% @ 0.3712%
1500	| 3722	 7477	 3214	 28	 | 53.66% @ 0.3731%
1600	| 3896	 7977	 3385	 28	 | 53.51% @ 0.3498%
Last	| 4009	 8372	 3475	 28	 | 53.57% @ 0.3333%
===========================<< 0.35 >>=========================
idx	| TP	 TN	 FN	 FP	 | TAR%   @ FAR%
--------------------------------------------------------
0	| 2	 5	 0	 0	 | 100.0% @ 0.0%
100	| 209	 504	 235	 1	 | 47.07% @ 0.198%
200	| 418	 1002	 379	 3	 | 52.45% @ 0.2985%
300	| 570	 1500	 539	 5	 | 51.4% @ 0.3322%
400	| 773	 1998	 734	 7	 | 51.29% @ 0.3491%
500	| 912	 2498	 925	 7	 | 49.65% @ 0.2794%
600	| 1141	 2996	 1127	 9	 | 50.31% @ 0.2995%
700	| 1526	 3492	 1463	 13	 | 51.05% @ 0.3709%
800	| 1678	 3991	 1646	 14	 | 50.48% @ 0.3496%
900	| 1941	 4490	 1913	 15	 | 50.36% @ 0.333%
1000	| 2125	 4987	 2133	 18	 | 49.91% @ 0.3596%
1100	| 2411	 5486	 2378	 19	 | 50.34% @ 0.3451%
1200	| 2678	 5985	 2564	 20	 | 51.09% @ 0.3331%
1300	| 2911	 6485	 2712	 20	 | 51.77% @ 0.3075%
1400	| 3524	 6985	 3027	 20	 | 53.79% @ 0.2855%
1500	| 3682	 7484	 3254	 21	 | 53.09% @ 0.2798%
1600	| 3850	 7982	 3431	 23	 | 52.88% @ 0.2873%
Last	| 3946	 8376	 3538	 24	 | 52.73% @ 0.2857%
===========================<< 0.36 >>=========================
